0,1,2,3,4,5,6
255,12,8,12,6,2,34
12,40,2,7,7,2,4
7,3,61,20,22,12,35
21,9,19,1015,33,9,79
8,4,17,47,324,8,70
10,8,20,9,16,87,12
27,1,35,29,75,1,512
