,Pred_0,Pred_1,Pred_2,Pred_3,Pred_4,Pred_5,Pred_6
True_0,176,30,23,9,8,23,56
True_1,4,36,5,6,6,9,6
True_2,7,4,67,10,12,16,43
True_3,30,84,75,729,63,40,140
True_4,18,39,59,85,80,40,144
True_5,10,9,21,8,4,85,14
True_6,27,3,83,11,55,4,460
